2.39,10.31,3.06,13.95,3.70,1.00
3.39,9.12,3.01,11.05,1.97,1.00
3.39,2.18,3.23,5.05,2.88,1.00
3.39,18.14,3.21,20.48,2.35,1.00
2.39,30.42,1.52,23.94,6.54,1.00
3.39,9.12,2.11,9.61,1.37,1.00
0.40,6.81,2.12,22.50,15.79,1.00
2.39,6.81,2.25,9.59,2.79,1.00
1.40,27.42,2.65,21.39,6.15,1.00
4.39,24.42,3.66,23.95,0.86,1.00
1.40,18.14,2.61,21.51,3.58,1.00
1.40,2.18,3.44,9.73,7.82,1.00
0.40,16.07,2.02,16.28,1.64,1.00
0.40,3.38,1.87,7.83,4.68,1.00
1.40,25.42,2.19,22.93,2.61,1.00
1.40,18.14,2.66,21.59,3.67,1.00
1.40,11.45,2.24,22.90,11.48,1.00
1.40,14.88,1.65,15.44,0.61,1.00
1.40,9.12,2.80,11.16,2.47,1.00
0.40,6.81,3.12,13.93,7.62,1.00
2.39,12.64,3.88,24.16,11.61,1.00
1.40,2.18,2.61,6.01,4.02,1.00
3.39,14.88,2.88,9.80,5.11,1.00
2.39,0.00,0.65,10.62,10.76,1.00
1.40,14.88,3.15,13.97,1.97,1.00
1.40,9.12,2.05,9.60,0.81,1.00
2.39,10.31,3.14,14.00,3.76,1.00
0.40,6.81,2.28,9.58,3.34,1.00
3.39,9.12,1.87,17.72,8.73,1.00
0.40,10.31,3.22,13.89,4.56,1.00
3.39,18.14,1.57,15.51,3.20,1.00
2.39,23.42,3.97,23.98,1.68,1.00
1.40,5.62,1.76,23.94,18.33,1.00
4.39,24.42,2.48,29.64,5.56,1.00
4.39,27.42,2.85,15.29,12.23,1.00
0.40,0.00,0.63,10.71,10.71,1.00
0.40,10.31,0.77,3.53,6.79,1.00
0.40,6.81,2.02,9.52,3.16,1.00
2.39,23.42,2.72,21.46,1.99,1.00
0.40,19.34,1.83,16.23,3.42,1.00
0.40,12.64,2.93,15.30,3.67,1.00
4.39,27.42,2.62,21.49,6.19,1.00
0.40,19.34,1.51,18.28,1.54,1.00
3.39,21.42,1.90,16.32,5.31,1.00
3.39,9.12,0.84,3.75,5.94,1.00
0.40,19.34,3.71,24.29,5.95,1.00
0.40,19.34,3.72,24.00,5.72,1.00
4.39,24.42,1.77,23.95,2.66,1.00
3.39,18.14,2.62,21.50,3.44,1.00
2.39,10.31,0.93,3.74,6.73,1.00
0.40,6.81,3.25,14.07,7.80,1.00
1.40,5.62,1.64,23.96,18.34,1.00
1.40,23.42,3.04,14.00,9.57,1.00
-0.60,27.42,1.69,23.99,4.12,1.00
4.39,24.42,1.78,23.96,2.65,1.00
4.39,27.42,1.64,23.91,4.46,1.00
3.39,2.18,0.92,3.47,2.79,1.00
2.39,30.42,2.57,21.59,8.83,1.00
1.40,27.42,3.89,24.03,4.20,1.00
0.40,6.81,2.17,7.67,1.97,1.00
1.40,2.18,3.57,5.10,3.63,1.00
2.39,23.42,1.73,23.97,0.86,1.00
0.40,12.64,2.82,15.19,3.52,1.00
2.39,6.81,3.30,4.92,2.10,1.00
0.40,12.64,3.70,23.82,11.66,1.00
2.39,6.81,3.08,4.94,1.99,1.00
0.40,0.00,2.14,9.43,9.59,1.00
-0.60,27.42,2.68,21.43,6.83,1.00
1.40,23.42,2.87,11.82,11.69,1.00
2.39,12.64,2.17,13.44,0.83,1.00
2.39,3.38,2.22,9.51,6.13,1.00
1.40,21.42,2.72,21.50,1.32,1.00
3.39,18.14,1.57,15.55,3.17,1.00
-0.60,24.42,4.08,24.29,4.68,1.00
0.40,10.31,0.70,10.77,0.55,1.00
3.39,21.42,2.36,29.78,8.43,1.00
1.40,23.42,2.86,18.73,4.91,1.00
2.39,25.42,3.74,23.84,2.07,1.00
1.40,25.42,2.61,21.55,4.05,1.00
1.40,9.12,2.63,21.63,12.57,1.00
0.40,0.00,1.79,7.87,7.99,1.00
1.40,2.18,2.04,9.45,7.30,1.00
3.39,21.42,3.88,23.94,2.57,1.00
0.40,0.00,3.13,14.08,14.34,1.00
2.39,25.42,2.56,21.44,3.98,1.00
3.39,5.62,2.66,21.56,15.95,1.00
1.40,18.14,1.97,16.24,1.98,1.00
1.40,23.42,1.57,23.99,0.60,1.00
1.40,2.18,2.24,9.48,7.35,1.00
2.39,6.81,0.98,3.82,3.31,1.00
3.39,9.12,2.87,11.26,2.20,1.00
0.40,3.38,3.03,5.00,3.08,1.00
3.39,18.14,2.70,21.46,3.39,1.00
0.40,12.64,3.95,23.94,11.84,1.00
2.39,10.31,2.15,9.44,0.91,1.00
1.40,5.62,2.34,12.89,7.33,1.00
3.39,9.12,2.85,11.80,2.73,1.00
-0.60,24.42,2.58,21.49,4.32,1.00
1.40,5.62,0.92,3.41,2.26,1.00
0.40,16.07,1.95,16.14,1.55,1.00
3.39,18.14,1.57,24.08,6.21,1.00
3.39,14.88,3.11,13.92,1.00,1.00
1.40,18.14,1.40,15.46,2.68,1.00
0.40,19.34,2.16,24.52,5.47,1.00
2.39,25.42,2.74,21.53,3.90,1.00
2.39,0.00,3.17,5.09,5.15,1.00
4.39,27.42,1.61,23.97,4.43,1.00
-0.60,27.42,2.56,21.54,6.68,1.00
4.39,24.42,2.66,21.52,3.37,1.00
1.40,23.42,2.68,21.56,2.26,1.00
2.39,6.81,2.64,6.04,0.81,1.00
3.39,5.62,2.43,5.87,0.99,1.00
3.39,11.45,3.12,11.08,0.46,1.00
2.39,3.38,2.19,9.47,6.10,1.00
1.40,25.42,2.73,21.40,4.23,1.00
3.39,9.12,2.92,11.80,2.72,1.00
0.40,3.38,2.10,9.56,6.41,1.00
0.40,19.34,2.55,21.58,3.10,1.00
-0.60,27.42,2.67,21.45,6.81,1.00
1.40,21.42,1.90,17.79,3.66,1.00
2.39,6.81,2.17,9.64,2.84,1.00
3.39,9.12,1.47,9.67,2.00,1.00
1.40,5.62,0.86,3.59,2.10,1.00
3.39,2.18,3.13,14.15,11.97,1.00
0.40,10.31,3.10,14.01,4.58,1.00
2.39,0.00,2.16,6.09,6.09,1.00
2.39,10.31,0.91,3.77,6.70,1.00
2.39,23.42,2.61,21.52,1.91,1.00
1.40,18.14,2.01,10.08,8.09,1.00
2.39,30.42,2.43,29.82,0.60,1.00
1.40,5.62,1.01,3.80,1.87,1.00
0.40,10.31,0.98,3.61,6.73,1.00
3.39,2.18,2.12,9.62,7.54,1.00
1.40,14.88,1.54,15.57,0.70,1.00
3.39,5.62,1.14,11.96,6.72,1.00
1.40,14.88,1.28,16.64,1.76,1.00
0.40,3.38,2.21,9.50,6.38,1.00
4.39,27.42,2.40,29.85,3.14,1.00
0.40,12.64,4.03,23.88,11.82,1.00
1.40,2.18,3.12,5.06,3.36,1.00
2.39,12.64,0.87,6.29,6.53,1.00
1.40,30.42,2.22,27.54,2.99,1.00
2.39,27.42,1.70,30.40,3.06,1.00
1.40,23.42,3.08,14.00,9.57,1.00
-0.60,24.42,2.58,21.57,4.27,1.00
1.40,9.12,3.94,24.23,15.32,1.00
2.39,6.81,0.94,3.81,3.33,1.00
0.40,12.64,3.20,13.99,3.10,1.00
2.39,23.42,2.65,21.51,1.93,1.00
3.39,18.14,2.77,21.48,3.39,1.00
3.39,14.88,1.84,10.44,4.70,1.00
2.39,10.31,0.90,3.35,7.11,1.00
2.39,12.64,2.39,29.83,17.19,1.00
4.39,24.42,2.68,21.43,3.45,1.00
1.40,2.18,1.50,9.64,7.46,1.00
1.40,30.42,2.67,21.49,9.02,1.00
2.39,23.42,2.61,21.56,1.87,1.00
3.39,21.42,1.61,24.02,3.15,1.00
1.40,11.45,3.14,13.90,3.01,1.00
1.40,11.45,2.64,21.52,10.15,1.00
0.40,3.38,2.13,9.50,6.36,1.00
1.40,27.42,1.69,24.04,3.39,1.00
2.39,23.42,2.55,21.59,1.84,1.00
1.40,14.88,3.94,23.98,9.45,1.00
