0.32,0.33,0.30,0.30,0.24,0.26,0.17,0.21
0.11,0.12,0.47,0.47,0.48,0.46,0.13,0.38
0.00,0.10,0.52,0.52,0.42,0.40,0.18,0.21
0.18,0.18,0.46,0.47,0.33,0.41,0.13,0.18
0.30,0.30,0.36,0.36,0.30,0.30,0.43,0.34
0.40,0.40,0.33,0.31,0.18,0.18,0.39,0.47
0.49,0.48,0.28,0.27,0.00,0.00,0.43,0.32
0.30,0.00,0.58,0.58,0.44,0.44,0.58,0.40
0.47,0.50,0.24,0.24,0.21,0.21,0.41,0.40
0.23,0.23,0.20,0.20,0.14,0.14,0.06,0.03
0.23,0.24,0.43,0.43,0.37,0.37,0.21,0.42
0.47,0.47,0.28,0.27,0.11,0.11,0.42,0.43
0.18,0.17,0.33,0.33,0.36,0.36,0.10,0.16
0.00,0.00,0.40,0.41,0.30,0.30,0.24,0.27
0.04,0.06,0.47,0.47,0.42,0.42,0.02,0.04
0.39,0.39,0.39,0.39,0.32,0.32,0.40,0.48
0.26,0.26,0.50,0.47,0.42,0.42,0.32,0.32
0.36,0.37,0.26,0.30,0.17,0.17,0.41,0.37
0.52,0.52,0.22,0.20,0.11,0.11,0.37,0.22
0.23,0.21,0.13,0.11,0.08,0.08,0.16,0.30
0.27,0.28,0.34,0.33,0.24,0.23,0.31,0.26
0.23,0.26,0.38,0.39,0.33,0.29,0.23,0.27
0.47,0.47,0.37,0.37,0.19,0.19,0.22,0.41
0.31,0.31,0.50,0.50,0.42,0.42,0.57,0.46
0.27,0.29,0.34,0.34,0.24,0.23,0.28,0.36
0.18,0.19,0.49,0.49,0.41,0.41,0.37,0.44
0.33,0.36,0.29,0.32,0.14,0.14,0.54,0.41
0.36,0.37,0.26,0.30,0.17,0.17,0.41,0.37
0.37,0.36,0.17,0.16,0.10,0.09,0.13,0.24
0.00,0.00,0.53,0.54,0.52,0.52,0.13,0.20
0.47,0.46,0.31,0.30,0.20,0.20,0.48,0.41
0.32,0.32,0.00,0.00,0.16,0.14,0.14,0.10
0.11,0.11,0.38,0.37,0.20,0.21,0.17,0.08
0.46,0.48,0.28,0.32,0.22,0.22,0.09,0.18
0.20,0.20,0.64,0.64,0.47,0.47,0.54,0.34
0.24,0.27,0.38,0.40,0.37,0.36,0.38,0.22
0.54,0.54,0.27,0.26,0.16,0.16,0.39,0.36
0.28,0.28,0.14,0.14,0.17,0.17,0.00,0.08
0.23,0.22,0.47,0.51,0.46,0.46,0.42,0.44
0.37,0.37,0.38,0.37,0.26,0.26,0.49,0.30
0.44,0.44,0.33,0.32,0.06,0.06,0.42,0.40
